Code ISIN;Catégorie Morningstar;Libellé du fonds;Société de gestion;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %;Page
LU1951229035;THEMATIQUES WATER;Natixis International Funds (Lux) I - Thematics Water Fund R/A (EUR);Natixis Investment Managers S.A.;4;2,05;0,5;2,55;20
FR0007078811;ACTIONS EUROPE GDES CAP. MIXTE;ODDO BHF Métropole Sélection CRw EUR;ODDO BHF Asset Management GMBH;4;1,65;0,5;2,15;20
LU1919842267;THEMATIQUES INTELLIGENCE ARTIFICIELLE;ODDO BHF Artificial Intelligence CR-EUR;ODDO BHF Asset Management Lux;5;1,74;0,5;2,24;20
FR0000446692;ACTIONS THEMATIQUES;Oddo BHF Best Thematics CR-EUR;ODDO BHF Asset Management S.A.S.;4;1,99;0,5;2,49;20
FR0000974149;ACTIONS EUROPE PETITES & MOY. CAP.;Oddo BHF Avenir Europe CR-EUR;ODDO BHF Asset Management S.A.S.;4;1,89;0,5;2,39;20
FR0000988669;ACTIONS ETATS-UNIS MOYENNES CAP.;Oddo BHF US Mid Cap CR-EUR;ODDO BHF Asset Management S.A.S.;5;1,8;0,5;2,3;21
FR0000989758;ACTIONS SECTEUR DIVIDENDES;Oddo BHF European High Dividend CR-EUR;ODDO BHF Asset Management S.A.S.;4;1,8;0,5;2,3;21
FR0000989899;ACTIONS FRANCE PETITES & MOY. CAP.;Oddo BHF Avenir CR- EUR;ODDO BHF Asset Management S.A.S.;4;1,72;0,5;2,22;21
FR0000990095;ACTIONS EUROPE ZONE EURO PETITES & MOY. CAP.;Oddo BHF Avenir Euro CR-EUR;ODDO BHF Asset Management S.A.S.;4;2,01;0,5;2,51;21
FR0010574434;ACTIONS EUROPE ZONE EURO;ODDO BHF Génération CR-EUR;ODDO BHF Asset Management S.A.S.;4;1,99;0,5;2,49;21
FR0011606276;ACTIONS EUROPE PETITES & MOY. CAP.;Oddo BHF Active Small Cap CI-EUR;ODDO BHF Asset Management S.A.S.;4;1,05;0,5;1,55;21
FR0011586544;ACTIONS SECTEUR BIENS DE CONSOMMATION;Ofi Invest Grandes Marques A;OFI Asset Management;4;1,7;0,5;2,2;21
FR0013267150;THEMATIQUES CLIMAT;Ofi Invest ESG Equity Climate Focus RC;OFI Asset Management;4;1,8;0,5;2,3;21
