Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
LU0075056555;BlackRock Global Funds - World Mining Fund A2;BlackRock (Luxembourg) SA;ACTIONS SECTEUR MATIERES PREMIERES;5;1,75%;0,60%;2,35%
LU0090689299;Pictet-Biotech P USD;Pictet Asset Management (Europe) SA;ACTIONS SECTEUR SANTE;5;2,40%;0,60%;3,00%
LU0099161993;Carmignac Portfolio Grande Europe A EUR Acc;Carmignac Gestion Luxembourg S.A.;ACTIONS EUROPE GDES CAP. CROISSANCE;4;1,50%;0,60%;2,10%
LU0099574567;Fidelity Funds - Global Technology Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR TECHNOLOGIES;4;1,50%;0,60%;2,10%
LU0104884860;Pictet-Water P EUR;Pictet Asset Management (Europe) SA;THEMATIQUES WATER;4;2,40%;0,60%;3,00%
LU0106235293;Schroder International Selection Fund EURO Equity A Accumulation EUR;Schroder Investment Management (Europe) S.A.;ACTIONS EUROPE ZONE EURO;4;1,50%;0,60%;2,10%
LU0106252389;Schroder International Selection Fund Emerging Markets A Accumulation USD;Schroder Investment Management (Europe) S.A.;ACTIONS MARCHÉS EMERGENTS;4;1,50%;0,60%;2,10%
LU0107398538;JPMorgan Funds - Europe Strategic Growth Fund A (dist) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS EUROPE GDES CAP. CROISSANCE;4;1,50%;0,60%;2,10%
LU0109392836;Franklin Technology Fund A (Acc) USD;Franklin Templeton International Services S.à r.l.;ACTIONS SECTEUR TECHNOLOGIES;6;1,50%;0,60%;2,10%
LU0114720955;Fidelity Funds - Global Healthcare Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR SANTE;4;1,50%;0,60%;2,10%
LU0114721508;FF - Global Consumer Brands Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR BIENS DE CONSOMMATION;4;1,50%;0,60%;2,10%
LU0114722498;Fidelity Funds - Global Financial Services Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR FINANCIER;5;1,50%;0,60%;2,10%
LU0114722902;Fidelity Funds - Global Industrials Fund A-DIST-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS SECTEUR BIENS INDUSTRIELS;4;1,50%;0,60%;2,10%
LU0114760746;Templeton Growth (Euro) Fund A(acc)EUR;Franklin Templeton International Services S.à r.l.;ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU0115769746;Fidelity Funds - World Fund E-Acc-EUR;Fidelity (FIL Inv Mgmt (Lux) S.A.);ACTIONS MONDE GDES CAP.;4;1,50%;0,60%;2,10%
LU0119620416;Morgan Stanley Investment Funds - Global Brands Fund A;MSIM Fund Management (Ireland) Limited;ACTIONS MONDE GDES CAP.;4;1,60%;0,60%;2,20%
LU0130732364;Pictet-Family P EUR;Pictet Asset Management (Europe) SA;ACTIONS MONDE GDES CAP.;4;2,40%;0,60%;3,00%
LU0133414606;DWS Global Value LD;DWS Investment S.A.;ACTIONS MONDE GDES CAP.;4;1,45%;0,60%;2,05%
LU0145648290;DWS Invest Top Asia LC;DWS Investment S.A.;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,50%;0,60%;2,10%
LU0149524034;Schroder International Selection Fund Swiss Small & Mid Cap Equity A Accumulation CHF;Schroder Investment Management (Europe) S.A.;ACTIONS SUISSE;4;1,50%;0,60%;2,10%
LU0159052710;JPMorgan Funds - US Technology Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ACTIONS SECTEUR TECHNOLOGIES;5;1,50%;0,60%;2,10%
LU0164865239;HSBC Global Investment Funds - Chinese Equity AC;HSBC Investment Funds (Luxembourg) S.A.;ACTIONS CHINE;5;1,50%;0,60%;2,10%
