Code ISIN;Libellé du fonds;Société de gestion;Catégorie Morningstar;Risque (SRI);Frais UC (B) %;Frais contrat (C) %;Frais totaux (B+C) %
FR0013215944;Arkéa Ethi-Patrimoine I;Arkéa Asset Management;ALLOCATION D'ACTIFS EUR PRUDENTE;2;0,80%;0,60%;1,40%
FR0013293552;Iken A;Sanso Investment Solutions;ALLOCATION D'ACTIFS EUR MODEREE;3;1,30%;0,60%;1,90%
FR0013300084;Asian Convictions R;OTEA Capital;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,40%;0,60%;2,00%
FR0013367265;R-co Valor Balanced C EUR;Rothschild & Co Asset Management;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,30%;0,60%;1,90%
FR0013420502;Keren Diapason C;Keren Finance;ALLOCATION D'ACTIFS EUR MODEREE;3;1,30%;0,60%;1,90%
FR0013433505;Echiquier Allocation Flexible B;La Financière de l'Echiquier;DIVERSIFIES INTERNATIONAUX FLEXIBLES;3;2,00%;0,60%;2,60%
FR0013528478;Mandarine Global Property C;Mandarine Gestion;IMMOBILIER - INDIRECT MONDE;5;1,65%;0,60%;2,25%
FR001400H8R3;Agilis I;OTEA Capital;ALLOCATION D'ACTIFS EUR MODEREE;4;1,50%;0,60%;2,10%
FR001400MUT2;Asian Convictions I;OTEA Capital;ACTIONS ASIE-PACIFIQUE HORS JAPON;4;1,20%;0,80%;2,00%
IE0004445015;Janus Henderson Capital Funds plc - Balanced Fund Class A2 USD;Janus Henderson Investors;DIVERSIFIES INTERNATIONAUX EQUILIBRES;4;1,00%;0,60%;1,60%
IE00BLP5S460;JupiterMerian Global Equity Absolute Return Fund L (EUR) Hedged Acc;Jupiter Asset Management (Europe) Limited;PERFORMANCE ABSOLUE INTERNATIONALE;2;1,50%;0,60%;2,10%
LU0068578508;First Eagle Amundi International Fund Class AU-C Shares;First Eagle Investment Management, LLC;DIVERSIFIES INTERNATIONAUX DYNAMIQUES;4;2,00%;0,60%;2,60%
LU0070212591;JPMorgan Investment Funds - Global Balanced Fund A (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,45%;0,60%;2,05%
LU0129412937;JPM Funds - Global Convertibles Fund (EUR) D (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;CONVERTIBLES INTERNATIONALES;4;1,25%;0,60%;1,85%
LU0179866438;AXA World Funds - Optimal Income A Capitalisation EUR pf;AXA Investment Managers Paris S.A.;DIVERSIFIES EUR FLEXIBLES;4;1,20%;0,60%;1,80%
LU0227384020;Nordea 1 - Stable Return Fund BP EUR;Nordea Investment Funds SA;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,50%;0,60%;2,10%
LU0243957742;Invesco Funds - Invesco Pan European High Income Fund E Accumulation EUR;Invesco Management S.A.;ALLOCATION D'ACTIFS EUR PRUDENTE;3;1,75%;0,60%;2,35%
LU0284394821;DNCA Invest Évolutif B EUR;DNCA Finance;ALLOCATION D'ACTIFS EUR MODEREE;3;2,40%;0,60%;3,00%
LU0401809073;DNCA Invest Convertibles Class A shares EUR;DNCA Finance;CONVERTIBLES EUR;3;1,60%;0,60%;2,20%
LU0431139764;Ethna-AKTIV T;ETHENEA Independent Investors S.A.;ALLOCATION D'ACTIFS INTERNATIONALE PRUDENTE;3;1,70%;0,60%;2,30%
LU0512121004;DNCA Invest Eurose Class B shares EUR;DNCA Finance;ALLOCATION D'ACTIFS EUR PRUDENTE;3;1,60%;0,60%;2,20%
LU0592698954;Carmignac Portfolio Emerging Patrimoine A EUR Acc;Carmignac Gestion Luxembourg S.A.;DIVERSIFIES INTERNATIONAUX EQUILIBRES;3;1,50%;0,60%;2,10%
LU0616900774;Exane Funds 2 Exane Pleiade Fund B EUR Accumulation;Exane Asset Management;PERFORMANCE ABSOLUE EUR;2;2,00%;0,60%;2,60%
LU0641745681;DNCA Invest ONE Class B shares EUR;DNCA Finance;PERFORMANCE ABSOLUE EUR;3;1,80%;0,60%;2,40%
LU0740858492;JPMorgan Investment Funds - Global Income Fund D (acc) -;JPMorgan Asset Management (Europe) S.à r.l.;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,25%;0,60%;1,85%
LU0941349192;Pictet-Multi Asset Global Opportunities P EUR;Pictet Asset Management (Europe) SA;ALLOCATION D'ACTIFS INTERNATIONALE PRUDENTE;3;1,35%;0,60%;1,95%
LU0972618812;JPMorgan Funds - Total Emerging Markets Income Fund D (acc) - EUR;JPMorgan Asset Management (Europe) S.à r.l.;DIVERSIFIES INTERNATIONAUX EQUILIBRES;3;1,25%;0,60%;1,85%
LU0987487336;Fidelity Funds - Global Multi Asset Income Fund A-Acc-EUR (hedged);Fidelity (FIL Inv Mgmt (Lux) S.A.);DIVERSIFIES INTERNATIONAUX EQUILIBRES;3;1,25%;0,60%;1,85%
LU0992632538;Edmond de Rothschild Fund - Income Europe A EUR;Edmond de Rothschild Asset Management (Lux);ALLOCATION D'ACTIFS EUR PRUDENTE;3;1,30%;0,60%;1,90%
LU1100076550;Clartan Valeurs C;Clartan Associés;DIVERSIFIES EUR FLEXIBLES;4;1,80%;0,60%;2,40%
LU1100077103;Clartan Flexible C;Clartan Associés;DIVERSIFIES EUR FLEXIBLES;3;1,60%;0,60%;2,20%
LU1100077442;Clartan Patrimoine C;Clartan Associés;ALLOCATION D'ACTIFS EUR PRUDENTE;2;0,90%;0,60%;1,50%
LU1162516477;BlackRock Global Funds - Global Multi-Asset Income Fund A2;BlackRock (Luxembourg) SA;DIVERSIFIES INTERNATIONAUX EQUILIBRES;3;1,50%;0,60%;2,10%
LU1514167722;Schroder International Selection Fund Global Credit Income A Accumulation EUR Hedged;Schroder Investment Management (Europe) S.A.;OBLIGATIONS INTERNATIONALES FLEXIBLES;3;1,10%;0,60%;1,70%
LU1582988058;M&G (Lux) Dynamic Allocation Fund EUR A Acc;M&G Luxembourg S.A.;DIVERSIFIES INTERNATIONAUX FLEXIBLES;3;1,75%;0,60%;2,35%
LU1585265066;Tikehau Short Duration Fund R EUR Acc;Tikehau Investment Management;OBLIGATIONS D'ENTREPRISE EUR COURT TERME;2;1,00%;0,60%;1,60%
LU1670724373;M&G (Lux) Optimal Income Fund EUR A Acc;M&G Luxembourg S.A.;DIVERSIFIES INTERNATIONAUX PRUDENTS;3;1,25%;0,60%;1,85%
LU1701702703;Invesco Funds - Invesco Sustainable Allocation Fund E (Accumulation) EUR;Invesco Management S.A.;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,20%;0,60%;1,80%
LU1813288351;LFIS Vision UCITS Quant Global Allocation Strategy R EUR Acc;LFIS Capital;PERFORMANCE ABSOLUE INTERNATIONALE;3;1,20%;0,60%;1,80%
LU1864504425;ODDO BHF Exklusiv: Polaris Balanced CRW-EUR;ODDO BHF Asset Management Lux;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;2,00%;0,60%;2,60%
LU1900799617;M&G (Lux) Sustainable Allocation Fund EUR A Acc;M&G Luxembourg S.A.;ALLOCATION D'ACTIFS INTERNATIONALE MODEREE;3;1,50%;0,60%;2,10%
LU1907594748;DNCA Invest Beyond Alterosa A;DNCA Finance;ALLOCATION D'ACTIFS EUR MODEREE;3;1,40%;0,60%;2,00%
LU2147879543;Tikehau International Cross Assets R EUR Acc;Tikehau Investment Management;DIVERSIFIES INTERNATIONAUX FLEXIBLES;3;1,50%;0,60%;2,10%
LU2358389745;Varenne UCITS - Varenne Global A EUR Accumulation;Varenne Capital Partners;DIVERSIFIES INTERNATIONAUX FLEXIBLES;4;1,95%;0,60%;2,55%
LU2661119755;DNCA Invest Évolutif C EUR;DNCA Finance;ALLOCATION D'ACTIFS EUR MODEREE;3;2,20%;0,60%;2,80%
MS0000000000;H2O MODERATO SP R M 20;H2O AM EUROPE;ALLOCATION D'ACTIFS INTERNATIONALE TACTIQUE;6;0,60%;0,60%;1,20%
MS0000000001;H2O ADAGIO SP SR M;H2O AM EUROPE;OBLIGATIONS INTERNATIONALES FLEXIBLES;4;0,36%;0,60%;0,96%
MS0000000002;H2O MODERATO SP SR M 2;H2O AM EUROPE;ALLOCATION D'ACTIFS INTERNATIONALE TACTIQUE;6;0,56%;0,60%;1,16%
MS0000000007;H2O MULTISTRATEGIES SP R M;H2O AM EUROPE;DIVERSIFIES INTERNATIONAUX FLEXIBLES;7;0,65%;0,60%;1,25%
BE0058187841;DPAM B - Real Estate Europe Sustainable B Cap;Degroof Petercam Asset Management SA;IMMOBILIER - INDIRECT EUROPE;5;1,60%;0,60%;2,20%
FR0000172041;AXA Aedificandi AC;AXA Reim SGP;IMMOBILIER - INDIRECT EUROPE;5;2,39%;0,60%;2,99%
FR0000972655;Amundi Actions Foncier P D;Amundi Asset Management;IMMOBILIER - INDIRECT EUROPE;5;1,50%;0,60%;2,10%
FR0010541821;Immobilier 21 AC;Gestion 21;IMMOBILIER - INDIRECT EUROPE;5;2,20%;0,60%;2,80%
FR0011066802;OPCI OPCIMMO P;Amundi Immobilier;IMMOBILIER - INDIRECT EUROPE;2;2,10%;0,60%;2,70%
FR0011513563;OPCI BNP Paribas Diversipierre P;BNP Paribas Real Estate Investment Management France;IMMOBILIER - INDIRECT EUROPE;2;1,50%;0,60%;2,10%
FR0013219722;OPCI Swisslife Dynapierre P;Swiss Life Asset Managers France;IMMOBILIER - INDIRECT EUROPE;2;2,00%;0,60%;2,60%
FR0013260262;OPCI Sofidy Pierre Europe A;Sofidy;IMMOBILIER - INDIRECT EUROPE;2;2,25%;0,60%;2,85%
FR0013466117;SC SOFIDY CONVICTIONS IMMO;SOFIDY;IMMOBILIER - INDIRECT EUROPE;2;0,00%;0,60%;0,60%
FR0013526100;SCI SILVER AVENIR;ARKEA REIM;IMMOBILIER - INDIRECT EUROPE;3;3,19%;0,60%;3,79%
FR0014000F47;SC PYTHAGORE;THEOREIM;IMMOBILIER - INDIRECT EUROPE;3;3,09%;0,60%;3,69%
FR0014002KE1;SC NOVAXIA R PART A;NOVAXIA SAS;IMMOBILIER - INDIRECT EUROPE;3;1,04%;0,60%;1,64%
FR0014002MX7;SCI PERIAL EURO CARBONE;PERIAL ASSET MANAGEMENT;IMMOBILIER - INDIRECT EUROPE;3;0,87%;0,60%;1,47%
FR0014007X71;SC ESG TENDANCES PIERRE;SWISS LIFE AM FRANCE;IMMOBILIER - INDIRECT EUROPE;3;3,20%;0,60%;3,80%
FR0014009XS9;Pierre Impact;BNP Paribas Real Estate Investment Management France;IMMOBILIER - INDIRECT EUROPE;2;3,39%;0,60%;3,99%
FR001400A217;SCI TERRITOIRES AVENIR;ARKEA REIM;IMMOBILIER - INDIRECT EUROPE;2;3,16%;0,60%;3,76%
FR001400C4M8;SCI LINASENS;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;1,96%;0,60%;2,56%
FR001400DFQ8;SC KEYS SELECTION VIE;KEYS REIM;IMMOBILIER - INDIRECT EUROPE;3;2,65%;0,60%;3,25%
FR001400EGA8;SCPI TRANSITION EUROPE;ARKEA REIM;IMMOBILIER - INDIRECT EUROPE;3;1,19%;0,60%;1,79%
FR001400TMJ5;SCPI MOMENTIME;ARKEA REIM;IMMOBILIER - INDIRECT EUROPE;3;0,35%;0,60%;0,95%
LU0266012409;AXA World Funds - Global Real Estate E Capitalisation EUR;AXA Investment Managers Paris S.A.;IMMOBILIER - INDIRECT MONDE;4;2,00%;0,60%;2,60%
QS0002005277;SCI Capimmo;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;3,34%;0,60%;3,94%
QS0002005285;SCPI PRIMOPIERRE;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;1,28%;0,60%;1,88%
QS0002005299;SCPI PATRIMMO COMMERCE;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;4;1,79%;0,60%;2,39%
QS0002005324;SCPI PRIMOVIE;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;2,04%;0,60%;2,64%
QS0002005338;SCPI LAFFITTE PIERRE;CILOGER;IMMOBILIER - INDIRECT EUROPE;3;1,24%;0,60%;1,84%
QS0002005346;SCPI RIVOLI AVENIR PATRIMOINE;AMUNDI IMMOBILIER;IMMOBILIER - INDIRECT EUROPE;3;1,88%;0,60%;2,48%
QS0002005625;SCPI ATOUT PIERRE DIVERSIFICAT;CILOGER;IMMOBILIER - INDIRECT EUROPE;3;1,90%;0,60%;2,50%
QS0002005629;SCPI REMAKE LIVE;REMAKE ASSET MANAGEMENT;IMMOBILIER - INDIRECT EUROPE;3;2,01%;0,60%;2,61%
QS0002005708;SCPI PATRIMMO CROISSANCE IMPACT;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;0,65%;0,60%;1,25%
QS0002006003;SCPI EFIMMO;SOFIDY;IMMOBILIER - INDIRECT EUROPE;3;2,24%;0,60%;2,84%
QS0002006011;SCPI IMMORENTE;SOFIDY;IMMOBILIER - INDIRECT EUROPE;3;1,85%;0,60%;2,45%
QS0002006342;SCPI PRIMOFAMILY;PRIMONIAL REIM;IMMOBILIER - INDIRECT EUROPE;3;3,18%;0,60%;3,78%
QS0002006359;SCPI PFO2;PERIAL ASSET MANAGEMENT;IMMOBILIER - INDIRECT EUROPE;3;1,24%;0,60%;1,84%
FR0013202108;Nextstage Croissance;Nextstage AM;SECTEUR TRANSITION ENERGETIQUE;6;0,00%;0,60%;0,60%
FR0013222353;Isatis Capital Vie & Retraite A Renseigner 56509;Isatis Capital;DIVERSIFIES;3;2,75%;0,60%;3,35%
FR0013301553;Eurazeo Private Value Europe 3 C;Eurazeo Investment Manager;DIVERSIFIES;3;1,80%;0,60%;2,40%
FR0013533619;FCPR Apeo A;Seven2;DIVERSIFIES;6;2,50%;0,60%;3,10%
FR001400AUA7;FCPR ARDIAN ACCESS SOLUTION;ARDIAN;DIVERSIFIES;6;1,90%;0,60%;2,50%
FR001400BCG0;Eiffel Infrastructures Vertes C;Eiffel Investment Group;SECTEUR INFRASTRUCTURES;3;2,15%;0,60%;2,75%
FR001400DOB2;FCPR MIROVA GREEN IMP PRIV EQU;NATIXIS GLOBAL AM;DIVERSIFIES;6;2,70%;0,60%;3,30%
FR001400HLW5;FCPR TIKEHAU FINANCEMENT DECA;TIKEHAU INVESTMENT MANAGEMENT;DIVERSIFIES;3;1,50%;0,60%;2,10%
FR001400JH55;EdR Private Equity Opportunities A;Edmond de Rothschild Private Equity (France);DIVERSIFIES;7;3,80%;0,60%;4,40%
FR001400K5J1;FCPR ELEVATION MIRIAD-VIE A;ELEVATION CAPITAL PARTNERS;DIVERSIFIES;6;1,40%;0,60%;2,00%
FR001400NFF0;FCPR MULTI STRATEGIES 2 - PART A;PAMS;DIVERSIFIES;6;1,80%;0,60%;2,40%
FR001400ROU2;FCPR ODDO BHF Global Private Equity A1;ODDO BHF Asset Management SAS;DIVERSIFIES;6;2,00%;0,80%;2,80%
FR001400ROV0;FCPR ODDO BHF Global Private Equity A2;ODDO BHF Asset Management SAS;DIVERSIFIES;6;2,00%;0,60%;2,60%
FR001400YDJ4;EPOPEE INFRA CLIMAT CO-INVEST I;EPOPEE GESTION;SECTEUR INFRASTRUCTURES;6;2,50%;0,60%;3,10%
